layer,Cotas,Cota_MDERa,Dif_MDERaf
Puntos IGN,2.6,2.10667,-0.493
Puntos IGN,4,1.81393,-2.186
Puntos IGN,2,1.96715,-0.033
Puntos IGN,2.4,1.82726,-0.573
Puntos IGN,2.2,1.95552,-0.244
Puntos IGN,1.7,2.08379,0.384
Puntos IGN,2.4,2.23112,-0.169
Puntos IGN,2,2.51703,0.517
Puntos IGN,2.2,2.09668,-0.103
Puntos IGN,2.6,2.09602,-0.504
Puntos IGN,3.1,2.30947,-0.791
Puntos IGN,4,2.63876,-1.361
Puntos IGN,3.3,2.35108,-0.949
Puntos IGN,2.7,2.04946,-0.651
Puntos IGN,2.6,2.24499,-0.355
Puntos IGN,2.6,2.28595,-0.314
Puntos IGN,2.9,2.22994,-0.67
Puntos IGN,3,2.30552,-0.694
Puntos IGN,2.8,2.32542,-0.475
Puntos IGN,3.6,2.55807,-1.042
Puntos IGN,2.9,2.27087,-0.629
Puntos IGN,2.8,2.47265,-0.327
Puntos IGN,2.6,2.30028,-0.3
Puntos IGN,2.6,2.34691,-0.253
Puntos IGN,3,2.25512,-0.745
Puntos IGN,3,2.30882,-0.691
Puntos IGN,4,2.24991,-1.75
Puntos IGN,2.6,2.6115,0.011
Puntos IGN,3.7,2.52409,-1.176
Puntos IGN,4.1,2.39482,-1.705
Puntos IGN,4,2.3543,-1.646
Puntos IGN,2.6,2.49203,-0.108
Puntos IGN,2.6,2.52156,-0.078
Puntos IGN,2.6,2.45794,-0.142
Puntos IGN,2.6,2.4109,-0.189
Puntos IGN,2.6,2.38657,-0.213
Puntos IGN,2.6,2.58578,-0.014
Puntos IGN,2.5,2.67464,0.175
Puntos IGN,2.6,2.73442,0.134
Puntos IGN,2.6,2.46084,-0.139
Puntos IGN,2.8,2.434,-0.366
Puntos IGN,2.7,2.8341,0.134
Puntos IGN,2.6,2.5976,-0.002
Puntos IGN,2.7,2.78737,0.087
Puntos IGN,2.6,2.36042,-0.24
Puntos IGN,2.5,2.45495,-0.045
Puntos IGN,2.6,2.5666,-0.033
Puntos IGN,2.8,2.54987,-0.25
Puntos IGN,2.4,2.5666,0.167
Puntos IGN,3.7,2.34799,-1.352
Puntos IGN,2.3,2.01411,-0.286
Puntos IGN,2.4,2.05951,-0.34
Puntos IGN,2.6,1.64083,-0.959
Puntos IGN,2.4,1.76076,-0.639
Puntos IGN,2.3,2.1428,-0.157
Puntos IGN,2,2.16793,0.168
Puntos IGN,2.4,2.15708,-0.243
Puntos IGN,2.7,2.1071,-0.593
Puntos IGN,4.1,2.40396,-1.696
Puntos IGN,2.3,2.37222,0.072
Puntos IGN,2.3,2.14807,-0.152
Puntos IGN,4.1,2.39146,-1.709
Puntos IGN,2.3,2.15873,-0.141
Puntos IGN,2.6,2.17911,-0.421
Puntos IGN,2.6,2.59689,-0.003
Puntos IGN,2.9,2.22283,-0.677
Puntos IGN,2.4,2.46482,0.065
Puntos IGN,3.8,2.44525,-1.355
Puntos IGN,2.8,2.2843,-0.516
Puntos IGN,3.3,2.87584,-0.424
Puntos IGN,2.3,2.15518,-0.145
Puntos IGN,2.6,2.11952,-0.48
Puntos IGN,2.6,2.05818,-0.542
Puntos IGN,2.6,2.10934,-0.491
Puntos IGN,2.8,2.22919,-0.571
Puntos IGN,2.4,2.19354,-0.206
Puntos IGN,2.6,2.25598,-0.344
Puntos IGN,2.7,2.32794,-0.372
Puntos IGN,2.6,2.46427,-0.136
Puntos IGN,2.7,2.36466,-0.335
Puntos IGN,2.6,2.16044,-0.44
Puntos IGN,2.8,2.26076,-0.539
Puntos IGN,3.4,2.5812,-0.819
Puntos IGN,2.6,2.40701,-0.193
Puntos IGN,4.6,2.2703,-2.33
Puntos IGN,3.6,2.68361,-0.916
Puntos IGN,2.8,2.46998,-0.33
Puntos IGN,3.1,2.31882,-0.781
Puntos IGN,2.6,2.11925,-0.481
Puntos IGN,2.6,2.25776,-0.342
Puntos IGN,2.8,2.67722,-0.123
Puntos IGN,2.2,2.33769,0.138
Puntos IGN,3.2,1.92879,-1.271
Puntos IGN,1.9,2.03441,0.134
Puntos IGN,2.3,2.69648,0.396
Puntos IGN,4.9,5.70367,0.804
Puntos IGN,1.9,2.12922,0.229
Puntos IGN,2.2,2.07842,-0.122
Puntos IGN,3.6,2.85042,-0.75
Puntos IGN,2.8,2.31487,-0.485
Puntos IGN,5.8,5.51152,-0.288
Puntos IGN,2.9,2.33977,-0.56
Puntos IGN,2.6,2.26716,-0.333
Puntos IGN,3.4,2.42441,-0.976
Puntos IGN,1.9,2.05527,0.155
Puntos IGN,2.3,2.20559,-0.094
Puntos IGN,2.4,2.16465,-0.235
Puntos IGN,2,1.95272,-0.047
