layer,Cota,Cota_MDE_R,Dif_MDE_Ra,UnidadPaisaje
Puntos IGN,2.1,2.52267,0.423,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.4,2.5543,0.154,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.46482,-0.135,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.4,2.71139,0.311,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.7,2.26546,-0.435,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3.1,2.39309,-0.707,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3,2.29815,-0.702,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.2981,-0.302,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.8,2.43654,-0.363,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.8,2.31455,-0.485,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3.6,2.51617,-1.084,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3,2.37492,-0.625,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3,2.42915,-0.571,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.31586,-0.284,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.34349,-0.257,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3.7,2.38181,-1.318,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,4.1,2.42445,-1.676,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,4,2.42707,-1.573,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.48232,-0.118,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.49986,-0.1,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.48818,-0.112,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,4,2.4407,-1.559,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.45068,-0.149,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.45476,-0.145,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.5,2.52349,0.023,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.48711,-0.113,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.45446,-0.146,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
